15,1,22.65,0.263572
16,1,23.45,0.58822
17,1,21.8,0.178325
18,1,22.5,0.209311
19,1,23.6,0.325826
20,1,22.45,0.310994
21,1,23.6833,0.544552
22,1,22.8,0.348692
23,1,23.1333,0.296841
24,1,22.6833,0.284003
25,1,22.4833,0.233119
26,1,22.5333,0.214137
27,1,22.0167,0.197938
28,1,22.85,0.351159
29,1,22.9333,0.301641
30,1,23,0.293926
31,1,22.4333,0.290592
32,1,22.4833,0.213408
33,1,22.3,0.3191
34,1,22.65,0.289031
35,1,23.0667,0.360909
36,1,23.0333,0.258202
37,1,22.2667,0.259708
38,1,22.55,0.296773
39,1,22.3,0.205175
40,1,21.65,0.166663
41,1,22.9167,0.290387
42,1,22.2167,0.4561
43,1,22.0333,0.346158
44,1,22.9167,0.256715
45,1,24.0167,0.380731
46,2,20.55,16.0996
47,3,23.3167,16.9721
48,4,22.5333,17.1814
49,5,22.8167,21.8209
50,6,21.65,26.7998
51,7,21.6,29.8927
52,8,21.3333,33.6897
53,9,22.95,34.7054
54,10,22.5667,34.2013
55,10,22.4833,29.5491
56,10,22.5167,19.9105
57,10,22.55,2.35492
58,10,24.1167,0.494421
59,10,23.4667,0.453768
60,10,21.8667,0.404511
61,10,22.45,0.401371
62,10,22.2167,0.409604
63,10,23.3167,0.445125
64,10,22.05,0.405098
65,10,21.6167,0.394297
66,10,22,0.433641
67,10,22.9833,0.431353
68,10,22.3167,0.404957
69,10,22.7167,0.453611
70,10,23.45,0.485158
71,10,22.6333,0.433216
72,10,23.3333,0.498368
73,10,22.75,0.417616
74,10,22.3833,0.420088
75,10,21.8,0.416314
76,10,22.8,0.41558
77,10,22.55,0.410185
78,10,22.1333,0.41382
79,10,22.8333,0.455364
80,10,21.9167,0.396186
81,10,22.5667,0.445002
82,10,23.4667,0.42056
83,10,22.0167,0.408799
84,10,22.5333,0.410867
85,10,22.6333,0.420755
86,10,22.85,0.436236
87,10,21.9,0.40042
88,10,23.2667,0.552308
89,10,22.8167,0.432088
90,10,21.8833,0.401435
91,10,23.0833,0.461706
92,10,22.8667,0.435177
93,10,23.0167,0.426995
94,10,22.4167,0.404606
95,10,23.1167,0.430866
96,10,22.5,0.409704
97,10,23.15,0.430241
98,10,21.4667,0.39398
99,10,22.95,0.431118
100,10,22.2333,0.419769
101,10,21.8167,0.413511
102,10,23.2833,0.468131
103,10,22.5333,0.407343
104,10,21.05,0.386706
